table_0,table_0,table_0,table_0,table_1,table_1,table_1,table_1,table_2,table_2,table_2,table_2,table_3,table_3,table_3,table_3,table_4,table_4,table_4,table_4
4.99,7,-63.87,8,73.81,6,-2.85,9,18.17,10,4.25,6,-404.66,7,26.88,9,7.96,10,103.57,6
6.15,8,76.03,8,81.07,3,9.15,11,16.64,9,-6.79,5,-411.66,10,28.04,10,5.27,7,104.95,7
6.84,9,-64.35,8,75.19,7,12.52,5,14.64,7,-2.53,9,-411.11,11,28.73,11,6.48,8,102.97,5
7.92,10,76.42,8,75.04,7,13.2,5,13.85,6,10.53,3,-414.79,7,29.8,2,1.12,3,106.4,8
8.14,10,-65.19,7,76.73,9,0.6,3,12.5,4,10.07,2,-415.3,7,30.03,2,8.71,11,104.29,6
8.79,11,76.84,9,76.52,9,-4.15,8,11.63,4,-1.89,10,-421.23,11,30.68,3,1.42,3,103.81,6
10.12,2,-64.52,7,82.7,5,-4.27,8,10.82,3,8.61,11,-424.45,8,32.01,4,10.54,3,104.58,7
11.39,3,76.79,9,86.06,8,11.6,4,11.58,4,-5.37,7,-420.77,11,33.27,5,7.45,9,103.5,5
12.29,4,-64.89,7,87.08,9,10.77,3,11.46,3,-6.86,5,-419.12,3,34.17,6,5.83,8,105.28,7
12.86,5,76.46,8,78.71,11,5.91,8,10.95,3,-4.07,8,-409.69,2,34.75,7,3.29,5,102.97,5
14.07,6,-64.25,8,75.44,7,10.11,2,10.63,3,9.77,2,-419.37,3,35.96,8,2.35,4,106.28,8
12.88,5,76.05,8,76.83,9,-2.47,10,10.25,2,-3.49,9,-409.44,3,36.76,9,-0.33,2,103.97,6
11.77,4,-64.16,8,78.65,11,12.3,4,200.04,2,8.7,11,-417.92,4,37.66,10,6.82,9,104.43,6
10.72,3,76.1,8,84.97,7,12.97,5,73.3,5,-7.5,5,-415.87,6,38.6,11,8.91,11,103.85,6
9.68,2,-64.14,8,81.79,4,1.58,4,49.97,2,-8.46,4,-425.38,7,39.57,2,3.94,6,104.59,7
8.73,11,76.19,8,80.45,2,-2.31,10,39.38,11,-4.36,8,-415.39,7,40.62,3,8.08,10,103.5,6
8.42,10,-63.49,9,80.91,3,-9.1,3,31.95,4,2.77,5,-421.63,10,42.31,4,8.16,10,105.39,7
7.27,9,75.34,7,76.13,8,12.29,4,26.66,9,5.67,8,-427.04,5,43.16,5,1.75,4,103.15,5
6.54,9,-63.07,9,75.01,7,-12.41,10,23.01,5,-8.27,4,-424.15,8,44.43,6,3.45,5,106.13,8
5.68,8,75.22,7,80.68,3,1.6,4,21.36,3,9.33,11,-424.14,8,45.57,8,6.23,8,103.68,6
5.08,7,-62.82,9,78.6,11,-0.84,11,19.15,11,-2.84,9,-423.6,8,46.97,9,12.66,5,105.04,7
4.5,7,75.24,7,75.06,7,-9.35,3,17.69,10,-2.83,9,-428.52,3,48.39,10,7.7,10,103.04,5
3.32,5,-63.42,9,77.4,9,5.44,7,16.13,8,8.05,10,-437.77,4,49.21,11,1.69,4,106.24,8
2.48,4,75.59,8,77.34,9,-12.72,9,15.23,7,8.46,10,-428.44,4,50.37,2,11.27,3,104.0,6
1.46,3,-63.6,8,82.76,5,-5.76,6,15.02,7,7.56,10,-438.47,4,51.35,3,6.97,9,104.2,6
0.62,3,75.76,8,86.23,8,1.18,3,13.98,6,-2.21,10,-428.39,4,52.51,5,2.26,4,104.05,6
-0.11,2,-63.49,9,87.14,9,2.99,5,13.08,5,5.8,8,-438.07,4,53.78,6,3.45,5,104.15,6
0.44,2,75.04,7,79.07,11,-6.8,5,11.57,4,4.1,6,-427.52,4,54.33,6,7.25,9,104.23,6
1.62,4,-62.85,9,75.88,8,-12.95,9,11.14,3,9.96,2,-430.12,2,55.51,8,2.31,4,103.94,6
2.25,4,74.48,6,75.65,8,-3.07,9,10.67,3,2.96,5,-432.51,9,56.14,8,5.38,7,104.55,7
3.68,6,-62.05,10,79.7,2,2.04,4,10.37,2,9.25,11,-424.71,7,57.57,10,4.72,7,103.32,5
4.69,7,74.06,6,81.06,3,12.95,5,11.47,3,-5.31,7,-419.16,3,58.58,11,0.02,2,105.68,8
5.92,8,-61.83,10,76.21,8,-10.81,11,10.4,2,-4.64,7,-409.0,3,59.81,2,12.39,4,103.28,5
6.47,8,73.38,5,75.31,7,-2.34,10,10.15,2,-2.11,10,-414.39,8,60.36,2,3.25,5,105.81,8
7.43,9,-61.42,11,81.23,3,-10.06,2,10.67,3,9.65,2,-411.49,11,61.32,3,7.93,10,103.3,5
8.7,11,73.69,6,79.88,2,11.65,4,10.41,2,0.04,2,-412.57,9,62.59,5,0.44,2,105.63,8
9.83,2,-61.55,10,78.03,10,-12.08,10,199.75,2,6.81,9,-403.59,8,63.72,6,5.23,7,103.24,5
10.78,3,73.5,5,74.17,6,5.79,8,73.95,6,-1.09,11,-413.5,9,64.67,7,11.91,4,105.85,8
11.47,3,-61.82,10,79.58,2,-3.04,9,50.27,2,-9.89,2,-404.1,8,65.35,7,0.47,2,103.38,5
12.73,5,74.08,6,74.9,7,-3.37,9,38.8,11,-1.48,11,-413.6,8,66.62,9,4.45,6,105.51,8
13.76,6,-62.06,10,73.48,5,13.32,5,32.12,4,-9.28,3,-404.18,8,67.64,10,6.04,8,103.18,5
12.82,5,74.13,6,74.67,7,13.25,5,28.06,10,-9.11,3,-412.48,10,68.71,11,7.11,9,106.05,8
11.63,4,-62.32,10,73.23,5,-4.17,8,24.35,6,5.18,7,-403.48,9,69.52,2,8.69,11,103.81,6
10.97,3,74.65,7,72.72,5,-4.88,7,21.17,3,7.15,9,-414.16,8,70.86,3,11.56,4,104.53,7
10.3,2,-62.32,10,72.71,5,11.81,4,18.88,11,-0.79,11,-408.3,4,72.19,4,7.55,10,103.65,6
9.9,2,74.92,7,74.05,6,8.34,10,16.93,9,-5.23,7,-407.28,5,73.78,6,3.0,5,105.03,7
8.34,10,-63.47,9,74.3,6,4.3,6,15.69,8,6.17,8,-399.11,3,74.23,6,5.08,7,102.87,5
7.84,10,75.97,8,72.2,4,11.04,3,15.21,7,0.18,2,-397.96,4,75.73,8,8.83,11,106.41,8
6.79,9,-64.02,8,71.55,4,-10.97,11,14.49,6,3.16,5,-406.68,5,76.68,9,8.92,11,104.18,6
5.28,7,75.5,8,76.14,8,9.08,11,14.23,6,-5.03,7,-396.63,5,77.17,9,6.14,8,104.07,6
4.2,6,-63.58,8,81.43,3,-9.18,3,13.35,5,0.85,3,-403.49,9,78.09,10,10.88,3,104.28,6
3.1,5,75.47,7,83.79,6,12.49,4,11.97,4,5.18,7,-413.81,8,78.99,11,-0.17,2,103.76,6
2.21,4,-63.37,9,80.36,2,-13.21,9,11.95,4,-6.02,6,-406.64,5,80.09,2,3.18,5,104.73,7
1.34,3,75.5,7,84.2,6,0.23,2,11.14,3,-2.1,10,-397.29,5,81.22,3,8.21,10,103.17,5
0.02,2,-63.81,8,77.62,10,4.46,6,199.99,2,-6.53,5,-406.6,5,81.91,4,10.47,2,106.09,8
-1.28,11,75.51,8,82.05,4,-1.16,11,72.82,5,0.61,3,-396.35,6,82.61,5,3.5,5,103.79,6
-0.56,11,-63.79,8,85.01,7,-10.27,2,50.83,3,6.68,9,-401.2,11,83.33,5,0.54,3,104.78,7
0.81,3,76.16,8,84.58,7,7.39,9,39.49,11,-9.17,3,-392.73,9,84.7,7,4.62,7,103.31,5
2.13,4,-63.84,8,81.21,3,-12.01,10,33.03,5,-9.5,2,-392.67,9,86.02,8,12.53,5,105.67,8
3.14,5,75.85,8,81.96,4,6.98,9,29.09,11,7.15,9,-392.7,9,87.03,9,4.03,6,103.22,5
4.43,6,-63.57,8,78.88,11,-3.4,9,25.15,7,-2.06,10,-392.42,10,88.32,10,4.47,6,105.93,8
5.29,7,75.43,7,80.69,3,4.37,6,21.47,3,-5.41,7,-395.34,7,89.17,11,11.76,4,103.42,5
6.42,8,-63.29,9,78.95,11,13.16,5,19.7,2,-0.66,11,-390.05,2,90.31,2,10.23,2,105.59,8
7.59,10,75.46,7,75.59,8,-10.34,2,18.2,10,-4.58,7,-394.29,8,91.47,3,2.27,4,103.22,5
8.49,10,-63.55,8,75.91,8,-3.67,8,16.09,8,9.38,11,-384.07,8,92.38,4,8.84,11,105.92,8
9.76,2,75.82,8,78.83,11,-11.78,10,14.92,7,9.0,11,-391.42,11,93.65,6,12.45,4,103.4,5
11.05,3,-63.53,8,82.22,4,12.9,5,14.13,6,-0.68,11,-400.41,2,94.94,7,10.49,2,105.65,8
12.18,4,75.66,8,79.37,11,-5.3,7,12.35,4,-10.15,2,-391.05,11,96.07,8,1.21,3,103.05,5
13.07,5,-63.77,8,81.76,4,-2.61,9,11.6,4,8.1,10,-401.81,10,96.96,9,2.82,5,106.01,8
12.42,4,76.11,8,76.8,9,5.78,8,200.22,2,-8.94,3,-399.39,3,98.31,10,3.58,6,103.43,5
11.1,3,-64.44,8,78.9,11,12.63,5,73.71,6,7.47,9,-395.26,7,98.98,11,4.46,6,105.51,8
9.62,2,75.97,8,84.81,7,-2.84,9,50.84,3,10.66,3,-389.02,3,99.51,2,7.21,9,103.22,5
8.24,10,-64.35,8,80.64,3,-0.43,2,38.72,11,4.01,6,-383.89,8,100.13,2,9.37,11,105.89,8
7.33,9,76.43,8,80.41,2,12.88,5,33.03,5,-5.26,7,-389.56,2,101.22,3,1.15,3,103.41,5
6.76,9,-64.01,8,75.73,8,2.59,5,28.01,10,4.75,7,-389.92,2,102.65,5,8.71,11,105.46,7
5.77,8,76.02,8,73.08,5,-2.06,10,23.95,6,-0.6,11,-393.53,8,103.66,6,1.02,3,103.04,5
4.81,7,-63.98,8,78.57,11,-12.1,10,21.72,4,-9.26,3,-385.49,7,104.69,7,2.06,4,106.31,8
3.63,6,75.81,8,75.39,7,10.89,3,19.5,2,9.35,11,-393.88,8,105.52,8,3.71,6,103.96,6
2.62,5,-63.83,8,77.84,10,-2.72,9,17.45,9,5.24,7,-384.16,8,106.5,9,10.97,3,104.52,7
2.02,4,76.23,8,78.89,11,9.68,2,15.22,7,-2.21,10,-391.84,10,107.91,10,7.67,10,103.51,6
0.78,3,-64.47,8,82.96,5,13.01,5,15.02,7,0.55,3,-398.92,3,108.67,11,11.6,4,105.43,7
0.07,2,76.75,9,79.87,2,13.0,5,14.27,6,3.55,6,-399.38,3,109.95,2,4.47,6,103.07,5
-0.91,11,-64.73,7,84.95,7,-2.61,9,13.27,5,-9.58,2,-395.09,7,110.98,3,4.05,6,106.21,8
0.39,2,77.02,9,77.59,10,-2.84,9,12.84,5,9.41,11,-388.27,4,112.28,4,3.49,5,103.85,6
1.5,4,-64.91,7,78.08,10,12.46,4,13.29,5,-4.55,7,-378.8,3,113.39,5,2.19,4,104.62,7
2.74,5,77.14,9,83.16,5,12.92,5,11.97,4,-0.19,2,-388.4,4,114.62,7,11.39,3,103.41,5
3.71,6,-65.16,7,83.55,6,0.41,2,11.12,3,8.35,10,-379.68,2,115.6,8,6.96,9,105.44,7
4.63,7,77.08,9,86.6,9,-2.43,10,11.32,3,5.07,7,-384.34,8,116.52,9,9.86,2,102.99,5
5.7,8,-65.01,7,88.09,10,-2.65,9,200.54,3,0.98,3,-393.09,9,117.59,10,4.12,6,106.27,8
6.43,8,76.74,9,78.74,11,11.78,4,73.3,5,-5.39,7,-389.97,2,118.32,10,4.55,7,103.83,6
7.28,9,-64.9,7,79.97,2,12.56,5,50.65,3,-2.12,10,-394.12,8,119.17,11,0.74,3,104.67,7
8.29,10,76.91,9,78.95,11,4.99,7,40.29,2,-4.44,8,-384.27,8,120.18,2,7.02,9,103.31,5
8.88,11,-65.32,7,74.27,6,-0.23,2,32.65,5,0.27,2,-393.1,9,120.77,3,9.31,11,105.62,8
9.83,2,77.27,9,74.98,7,-8.0,4,27.18,9,6.49,8,-389.42,3,121.72,4,0.91,3,103.09,5
10.81,3,-65.29,7,73.16,5,1.67,4,24.57,7,-6.98,5,-387.7,4,122.69,5,0.96,3,106.17,8
11.55,4,77.03,9,74.44,6,-9.94,2,21.0,3,-6.05,6,-378.29,4,123.43,5,8.57,11,103.76,6
12.39,4,-65.19,7,73.74,6,-9.2,3,19.41,11,9.42,11,-387.17,5,124.28,6,-0.25,2,104.98,7
13.59,6,77.38,9,72.49,4,-12.84,9,17.75,10,-6.98,5,-380.79,11,125.48,7,1.32,3,102.98,5
12.48,4,-65.49,7,71.4,3,-12.78,9,15.78,8,0.11,2,-374.49,8,126.36,8,8.81,11,106.33,8
11.93,4,77.95,10,74.68,7,1.92,4,14.96,7,8.9,11,-368.25,4,127.82,10,9.76,2,104.11,6
10.65,3,-66.23,6,80.8,3,1.08,3,14.6,7,-3.76,8,-362.48,10,128.54,11,-0.46,2,104.04,6
9.79,2,78.36,10,76.86,9,-10.91,11,13.66,6,-10.41,2,-353.59,8,129.68,2,2.22,4,104.19,6
8.93,11,-66.21,6,74.92,7,-6.33,6,11.91,4,-8.99,3,-362.87,9,130.82,3,11.24,3,104.12,6
7.6,10,77.89,10,83.03,5,-8.97,3,10.44,2,-0.92,11,-351.87,10,131.49,3,-0.54,11,104.33,6
6.36,8,-66.13,6,78.99,11,-0.52,11,200.07,2,9.23,11,-352.36,10,132.25,4,1.59,4,103.69,6
5.71,8,78.49,10,84.59,7,-12.44,10,73.37,5,4.0,6,-356.77,5,133.6,6,7.59,10,105.03,7
5.32,7,-65.88,6,80.18,2,3.4,5,50.7,3,-5.52,6,-346.88,5,135.2,7,4.0,6,103.06,5
4.08,6,77.65,10,81.19,3,-0.84,11,38.38,10,5.25,7,-356.59,5,135.97,8,3.61,6,106.14,8
3.3,5,-65.43,7,75.92,8,-12.58,9,31.19,3,-6.98,5,-346.07,6,137.19,9,6.37,8,103.85,6
2.35,4,77.48,9,75.89,8,5.59,8,26.54,9,0.73,3,-350.41,2,138.24,10,6.08,8,104.73,7
1.32,3,-65.51,6,80.47,2,0.12,2,22.84,5,8.76,11,-340.45,2,139.2,11,6.94,9,103.27,5
0.63,3,77.82,10,82.57,5,-4.43,8,20.8,3,-8.19,4,-349.64,2,140.52,3,4.52,7,105.78,8
-0.1,2,-65.56,6,76.85,9,-0.56,11,18.36,10,-8.76,3,-341.27,11,141.79,4,0.45,2,103.36,5
0.92,3,77.58,10,82.72,5,10.8,3,16.94,9,-4.54,7,-349.76,2,142.81,5,11.04,3,105.75,8
1.89,4,-65.61,6,86.17,8,3.44,5,14.86,7,8.8,11,-341.41,11,143.78,6,1.95,4,103.19,5
3.14,5,77.85,10,86.99,9,9.64,2,13.95,6,7.99,10,-350.63,11,145.02,7,0.41,2,105.79,8
4.55,7,-65.44,7,78.97,11,-12.5,9,13.53,6,-8.99,3,-340.64,11,146.44,8,1.69,4,103.41,5
5.39,7,77.28,9,75.53,8,13.09,5,12.78,5,9.43,11,-350.12,2,147.28,9,0.73,3,105.58,8
5.99,8,-65.68,6,75.6,8,-0.47,2,11.93,4,9.54,2,-340.37,2,147.88,10,7.34,9,103.09,5
7.34,9,78.03,10,78.18,10,-3.67,8,11.03,3,-0.44,2,-349.66,2,149.23,11,3.58,6,106.0,8
8.51,11,-65.86,6,79.69,2,2.64,5,10.31,2,2.72,5,-342.19,10,150.4,2,0.28,2,103.42,5
9.44,11,77.8,10,81.83,4,12.8,5,10.09,2,10.08,2,-344.2,8,151.33,3,5.89,8,105.59,8
10.16,2,-66.08,6,75.88,8,-13.07,9,199.95,2,-10.37,2,-335.2,7,152.05,4,0.53,3,102.96,5
10.77,3,77.69,10,79.17,11,-1.04,11,73.24,5,10.01,2,-342.57,9,152.66,5,6.36,8,106.47,8
12.02,4,-65.45,7,81.47,3,2.79,5,50.52,3,-3.81,8,-341.98,10,153.91,6,6.41,8,104.17,6
12.54,5,76.97,9,77.73,10,6.43,8,39.63,2,9.77,2,-346.47,6,154.43,6,11.2,3,104.02,6
14.01,6,-64.5,7,77.73,10,-12.87,9,32.71,5,-9.18,3,-354.39,8,155.9,8,10.78,3,104.29,6
12.56,5,76.05,8,82.41,4,0.9,3,28.01,10,8.48,10,-360.23,2,156.45,8,0.25,2,103.82,6
11.51,4,-64.1,8,85.01,7,2.13,4,24.6,7,6.95,9,-368.63,3,157.4,9,6.92,9,104.77,7
10.45,2,76.03,8,86.18,8,-5.35,7,22.43,4,-2.35,10,-359.32,3,158.34,10,11.89,4,103.33,5
9.37,11,-64.11,8,81.71,4,-11.84,10,19.67,2,-9.9,2,-369.37,3,159.26,11,9.87,2,105.52,8
8.54,11,76.29,8,75.79,8,5.68,8,17.61,10,6.69,9,-359.92,2,160.43,2,11.29,3,103.01,5
7.88,10,-63.95,8,77.9,10,-4.76,7,15.54,8,-10.12,2,-369.91,2,161.76,4,1.55,4,106.18,8
6.41,8,75.49,7,80.24,2,-4.46,8,14.52,7,-10.44,2,-363.78,8,162.3,4,8.22,10,103.61,6
5.23,7,-63.66,8,83.53,6,9.39,11,13.3,5,-7.98,4,-357.06,5,163.12,5,7.7,10,105.26,7
4.1,6,75.54,8,76.62,9,10.08,2,12.29,4,-1.24,11,-348.51,3,163.99,6,9.79,2,102.94,5
2.49,4,-64.15,8,82.9,5,12.78,5,11.72,4,-9.66,2,-350.92,11,164.38,6,8.98,11,106.27,8
1.9,4,76.57,9,86.03,8,12.18,4,11.58,4,-5.73,6,-343.04,9,165.79,8,5.69,8,103.91,6
0.72,3,-64.75,7,87.99,10,-1.11,11,10.38,2,-6.03,6,-336.87,5,166.61,9,6.7,9,104.61,7
-0.5,2,76.53,9,79.41,11,2.58,5,199.49,11,-9.81,2,-330.13,2,167.39,9,7.63,10,103.41,5
0.37,2,-64.66,7,79.88,2,6.9,9,72.39,4,-6.76,5,-327.39,5,168.26,10,2.79,5,105.54,8
1.65,4,76.93,9,76.0,8,-12.61,9,50.56,3,-9.33,3,-333.72,8,169.54,2,0.46,2,103.05,5
2.73,5,-64.85,7,73.41,5,4.19,6,39.14,11,10.34,2,-339.82,2,170.62,3,2.14,4,106.26,8
3.8,6,76.92,9,79.97,2,0.75,3,32.21,4,3.65,6,-344.1,8,171.69,4,8.11,10,104.1,6
4.69,7,-65.03,7,75.32,7,-11.35,11,27.39,9,3.79,6,-334.31,8,172.57,5,7.81,10,104.14,6
5.96,8,77.31,9,72.77,5,-4.72,7,24.09,6,10.09,2,-343.84,8,173.85,6,7.46,9,104.13,6
7.41,9,-64.86,7,75.8,8,-7.6,4,22.01,4,9.01,11,-334.3,8,175.3,7,6.75,9,104.06,6
8.31,10,76.75,9,75.65,8,9.36,11,20.46,2,9.44,11,-343.55,8,176.2,8,5.83,8,104.31,6
9.37,11,-64.69,7,80.17,2,-7.58,4,18.23,10,-8.85,3,-333.91,8,177.26,9,8.1,10,103.93,6
10.17,2,76.5,8,81.03,3,12.69,5,17.34,9,-0.17,2,-342.23,10,178.06,10,3.68,6,104.38,6
11.39,3,-64.29,8,75.33,7,-8.04,4,16.64,9,9.56,2,-344.55,7,179.27,11,6.35,8,103.63,6
12.78,5,76.68,9,74.6,7,-0.83,11,14.6,7,4.72,7,-336.06,6,180.67,3,11.66,4,105.07,7
13.48,5,-64.99,7,77.29,9,-9.67,2,12.43,4,4.47,6,-336.44,6,181.37,3,6.49,8,103.14,5
12.28,4,76.79,9,75.09,7,5.23,7,11.42,3,-9.97,2,-333.56,8,182.17,4,7.68,10,106.02,8
11.26,3,-64.82,7,82.4,4,-12.79,9,11.26,3,-7.29,5,-338.64,3,183.15,5,9.96,2,103.61,6
10.6,3,77.15,9,80.43,2,-5.8,6,11.66,4,-8.73,3,-331.33,11,184.49,6,10.57,3,105.38,7
9.61,2,-65.14,7,83.59,6,1.5,4,11.06,3,1.29,3,-321.26,11,185.5,8,7.03,9,103.05,5
8.73,11,77.26,9,76.72,9,2.81,5,10.66,3,8.11,10,-329.07,3,186.62,9,10.2,2,106.06,8
8.49,10,-64.51,7,82.92,5,-9.02,3,200.13,2,6.42,8,-336.5,5,188.37,10,1.25,3,103.59,6
7.57,10,76.59,9,86.54,9,-12.6,9,73.82,6,7.54,10,-332.66,9,189.45,11,1.13,3,105.25,7
6.24,8,-64.91,7,87.6,10,-13.14,9,50.88,3,-4.75,7,-329.97,2,190.12,2,9.45,11,102.86,5
5.09,7,76.76,9,79.16,11,0.51,3,39.63,2,6.28,8,-328.41,4,190.97,3,-0.25,2,106.55,9
4.31,6,-64.54,7,77.11,9,3.01,5,33.17,5,8.84,11,-339.45,3,192.2,4,4.38,6,104.25,6
2.9,5,76.13,8,75.49,7,-3.44,9,27.74,10,-0.09,2,-341.29,11,192.79,5,3.32,5,103.84,6
2.21,4,-63.83,8,82.61,5,-13.06,9,23.5,5,-9.98,2,-350.52,11,194.1,6,2.51,5,104.63,7
0.55,3,75.16,7,81.97,4,13.07,5,20.69,3,3.17,5,-340.43,2,194.44,6,-1.1,11,103.43,5
-0.63,11,-63.34,9,85.0,7,3.16,5,18.98,11,-9.93,2,-349.48,3,195.26,7,1.7,4,105.48,7
0.28,2,75.26,7,84.26,6,-2.94,9,17.52,10,1.27,3,-342.01,10,196.17,8,5.86,8,103.16,5
1.5,4,-63.04,9,81.19,3,-13.08,9,15.55,8,-10.12,2,-346.25,6,197.39,9,10.36,2,105.95,8
2.51,5,75.05,7,82.9,5,12.58,5,13.98,6,5.56,8,-353.06,9,198.4,10,3.02,5,103.36,5
3.84,6,-62.73,9,79.03,11,3.23,5,13.68,6,-8.85,3,-362.47,10,199.73,2,3.54,6,105.6,8
4.77,7,74.65,7,84.38,6,0.06,2,13.1,5,8.62,11,-352.91,9,200.65,3,-0.13,2,103.18,5
5.41,7,-63.0,9,80.18,2,-12.64,9,12.24,4,10.46,2,-361.0,11,166.86,9,9.42,11,106.06,8
6.36,8,74.95,7,81.54,4,-1.08,11,10.96,3,-7.71,4,-364.93,7,139.0,11,4.92,7,103.39,5
7.53,10,-62.78,9,75.45,7,0.18,2,200.59,3,-0.2,2,-370.36,2,116.0,8,12.28,4,105.44,7
8.88,11,75.12,7,76.85,9,6.53,9,73.28,5,-9.32,3,-367.22,5,97.01,9,9.57,2,102.98,5
9.17,11,-63.83,8,78.57,11,-1.29,11,51.59,4,5.54,8,-370.85,11,80.14,2,10.83,3,106.23,8
9.84,2,75.5,7,84.85,7,2.23,4,40.35,2,4.06,6,-371.23,11,66.45,8,11.45,3,104.1,6
10.67,3,-63.67,8,82.09,4,7.65,10,33.9,6,7.57,10,-376.52,5,55.21,7,7.72,10,104.1,6
11.55,4,75.54,8,80.53,3,-12.04,10,29.44,11,3.1,5,-372.55,9,45.88,8,1.79,4,104.04,6
13.15,5,-62.94,9,82.46,4,8.45,10,25.86,8,6.92,9,-381.83,10,38.84,11,11.01,3,104.34,6
11.97,4,74.75,7,76.76,9,-3.31,9,23.16,5,-1.06,11,-371.76,10,32.18,4,2.69,5,103.79,6
10.61,3,-63.11,9,82.22,4,11.82,4,20.21,2,-8.87,3,-379.89,2,26.46,8,7.41,9,104.89,7
9.83,2,75.32,7,86.09,8,13.04,5,17.8,10,-0.2,2,-382.16,10,22.27,4,0.36,2,103.16,5
8.92,11,-63.23,9,86.23,8,5.38,7,16.32,8,11.01,3,-372.11,10,18.65,11,2.16,4,106.2,8
8.26,10,75.56,8,77.85,10,-3.53,8,15.37,7,4.92,7,-382.79,9,15.88,8,0.56,3,103.68,6
7.34,9,-63.48,9,73.86,6,-5.81,6,14.19,6,-10.21,2,-378.31,4,13.32,5,5.14,7,104.94,7
6.98,9,76.11,8,79.54,2,12.19,4,13.88,6,-9.0,3,-388.93,3,11.73,4,9.05,11,102.91,5
5.49,7,-64.6,7,75.43,7,3.73,6,12.33,4,-6.01,6,-381.96,10,9.28,11,6.18,8,106.61,9
4.36,6,76.47,8,72.92,5,1.81,4,11.45,3,8.59,11,-373.27,9,10.16,2,9.79,2,104.39,6
2.8,5,-65.03,7,76.52,9,-12.54,9,11.29,3,-7.52,4,-378.92,3,10.6,3,10.07,2,103.65,6
2.46,4,77.69,10,75.12,7,-10.29,2,199.77,2,-5.93,6,-388.38,4,12.26,4,7.1,9,105.02,7
0.87,3,-66.28,6,82.0,4,-0.21,2,73.53,6,-5.38,7,-379.24,3,12.67,5,1.02,3,103.03,5
-0.24,2,78.17,10,79.49,11,-11.93,10,51.32,3,-8.87,3,-387.23,5,13.56,6,3.82,6,106.16,8
0.7,3,-66.23,6,81.46,3,1.52,4,40.31,2,-3.84,8,-379.68,2,14.5,6,8.9,11,103.83,6
1.64,4,78.18,10,76.64,9,-4.11,8,32.59,5,9.91,2,-384.1,8,15.44,7,8.9,11,104.67,7
2.51,5,-66.3,6,77.43,9,-8.77,3,27.6,10,-8.38,4,-391.13,11,16.31,8,10.79,3,103.39,5
3.68,6,78.47,10,82.95,5,11.01,3,23.77,6,9.11,11,-401.97,10,17.48,9,7.28,9,105.39,7
4.66,7,-66.49,6,85.75,8,-12.5,9,21.24,3,-0.25,2,-400.79,11,18.46,10,5.97,8,102.96,5
5.87,8,78.7,11,87.42,9,8.9,11,19.22,11,-8.56,3,-391.45,11,19.67,2,12.35,4,106.24,8
6.37,8,-67.21,5,79.82,2,-0.3,2,17.82,10,6.98,9,-400.74,11,20.17,2,10.16,2,103.95,6
7.17,9,79.0,11,77.45,9,12.67,5,16.76,9,5.33,7,-390.73,11,20.96,3,5.66,8,104.48,6
7.94,10,-67.23,5,73.81,6,1.82,4,14.71,7,-8.85,3,-400.16,2,21.74,4,5.62,8,103.51,6
9.06,11,79.35,11,81.2,3,-0.79,11,13.7,6,2.67,5,-391.18,11,22.86,5,4.2,6,105.27,7
10.17,2,-67.24,5,75.47,7,-10.4,2,13.63,6,9.66,2,-401.38,11,23.97,6,6.18,8,102.96,5
11.05,3,79.12,11,75.67,8,5.28,7,12.01,4,-9.44,3,-394.18,8,24.85,7,10.8,3,106.4,8
11.9,4,-67.27,5,78.62,11,-11.04,11,11.01,3,7.31,9,-383.49,9,25.7,8,6.75,9,104.34,6
12.77,5,79.14,11,80.56,3,-6.33,6,10.76,3,-0.48,2,-385.75,6,26.57,9,8.78,11,103.73,6
14.04,6,-66.87,5,80.27,2,-8.6,3,199.99,2,-0.01,2,-391.25,11,27.84,10,7.45,9,105.02,7
13.48,5,79.31,11,75.75,8,-0.18,2,73.43,5,10.1,2,-400.98,11,29.28,11,4.73,7,103.09,5
12.4,4,-67.39,5,73.19,5,-11.67,10,51.3,3,0.59,3,-391.44,11,30.2,2,3.87,6,106.18,8
11.8,4,79.79,2,78.58,11,1.43,3,39.86,2,9.38,11,-400.51,11,31.6,4,6.66,9,103.91,6
10.92,3,-67.67,4,74.83,7,-6.1,6,32.72,5,-10.56,11,-391.26,11,32.72,5,1.2,3,104.39,6
10.17,2,79.92,2,77.25,9,-8.5,3,28.06,10,-1.18,11,-401.12,11,33.96,6,0.41,2,103.7,6
9.43,11,-67.65,4,75.86,8,1.11,3,23.61,6,2.48,4,-392.83,9,35.23,7,7.44,9,104.91,7
7.99,10,79.21,11,82.96,5,-11.41,11,20.25,2,-3.37,9,-391.15,11,35.79,8,-0.74,11,103.18,5
7.02,9,-67.18,5,83.56,6,-7.0,5,18.31,10,-9.46,3,-401.43,11,36.82,9,0.05,2,105.88,8
5.94,8,79.09,11,86.71,9,-6.96,5,16.01,8,-6.14,6,-394.77,7,37.74,10,7.86,10,103.44,5
5.16,7,-66.87,5,88.07,10,-4.62,7,14.08,6,-1.17,11,-386.05,6,38.96,11,2.37,4,105.44,7
4.0,6,78.7,11,79.12,11,-4.51,7,13.41,5,-4.53,7,-389.92,2,39.8,2,1.73,4,102.99,5
3.13,5,-66.56,5,79.99,2,9.5,2,12.78,5,-3.65,8,-393.59,8,40.93,3,12.23,4,106.24,8
2.09,4,78.52,11,77.62,10,10.44,2,11.84,4,9.11,11,-385.22,7,41.88,4,3.92,6,104.04,6
